,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
511,PORSCHE, 911 996 Carrera 4,53990,1998,Automatic,Used,Convertible,Unleaded,3400,
512,FORD, LTD [Empty],52990,1978,Automatic,Used,Hardtop - Coupe,Unleaded,,
513,FORD, GALAXIE XL,38000,1968,Automatic,Used,Hardtop - Coupe,,6981,
514,HOLDEN, TORANA LC GTR,145000,1970,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
515,BMW, M4,84990,2016,Automatic,Used,Hardtop - Coupe,Premium Unleaded,2979,
516,HYUNDAI, IMAX,14990,2013,Automatic,Used,Wagon,Unleaded,2400,
517,HOLDEN, VS COMMODORE,3300,1996,,Used,Sedan,,,
518,COBRA, CHASSIS AC,38000,2012,Automatic,New,Cab Chassis,,,
519,CHEVROLET, CAMARO,129990,1968,Automatic,Used,Hardtop - Coupe,Unleaded,,
520,AUDI, S4 CABRIOLET 2+2,25000,2005,Tiptronic,Used,Convertible,Premium Unleaded,4200,253
521,MERCEDES-BENZ, E250,29990,2010,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1796,
522,PORSCHE, PANAMERA,224990,2018,Automatic,Used,Wagon,Premium Unleaded,2894,
523,FORD, MUSTANG K-code 289 HiPo,85000,1965,,Used,Hardtop - Coupe,,,
524,HSV, SENATOR VX,70000,2001,,Used,Sedan,,,
525,CHEVROLET, BEL AIR Hardtop,52990,1955,Automatic,Used,Hardtop - Coupe,Unleaded,,
526,FORD, FALCON XA,95000,1972,Manual,Used,Hardtop - Coupe,Premium Unleaded,5800,
527,VOLKSWAGEN, AMAROK,34990,2015,Automatic,Used,Ute,Diesel,1968,
528,SAAB, 9-3 440 MY,11990,2008,,Used,Sedan,,,
529,CHEVROLET, CORVETTE C3 25th anniversary limited edition,33990,1978,Automatic,Used,Hardtop - Coupe,Premium Unleaded,350,
530,FORD, MUSTANG Shelby GT500,115000,2007,,Used,Hardtop - Coupe,,,
531,SAAB, 9-3 Aero,16500,2007,Sequential Manual Auto,Used,Convertible,Premium Unleaded,2800,184
532,MERCEDES-BENZ, E350,12500,2007,Automatic,Used,Sedan,Leaded Petrol,,
533,MERCURY, MARQUIS,39900,1977,Automatic,Used,Hardtop - Coupe,Unleaded,6590,
534,FORD, MUSTANG GT,38990,1996,Automatic,Used,Hardtop - Coupe,Unleaded,4600,
535,VOLKSWAGEN, CADDY,14990,2009,Automatic,Used,Van,Diesel,1900,
536,NISSAN, MAXIMA TI,7990,,Automatic,Used,Sedan,Unleaded,3500,
537,TD 2000, 2.0 LITRE,29900,1989,Manual,Used,Roadster,Unleaded,2000,
538,BMW, 118I,27990,2016,Automatic,Used,Hatchback,Premium Unleaded,1499,
539,HOLDEN, COMMODORE  COMMODORE VF MOTORSPORT EDITION,135000,2017,Automatic,Used,Sedan,Premium Unleaded,,
540,FORD, F150 Platinum 4x4,148990,2016,Automatic,Used,Ute,Unleaded,5000,
541,MINI, COOPER,19990,2008,Manual,Used,Hatchback,Unleaded,1598,
542,MERCEDES-BENZ, 500SEL W140,16990,1992,Automatic,Used,Sedan,Unleaded,4973,
543,ASTON MARTIN, DB2/4 Mk 1,209950,1955,Manual,Used,Hardtop - Coupe,,2580,
544,PORSCHE, 356,44990,1960,Manual,Used,Convertible,Unleaded,1582,45
545,DODGE, CHALLENGER,87990,1970,,Used,Fastback,,,
546,FERRARI, 360 SPIDER,213000,2002,,Used,Convertible,,,
547,BMW, 3 SERIES E92 MY10,19990,2009,,Used,Hardtop - Coupe,,,
548,MERCEDES-BENZ, GLA-CLASS X156,37990,2017,,Used,Wagon,,,
549,CHEVROLET,  COUPE Master 85,28000,1939,Manual,Used,Hardtop - Coupe,Unleaded,,
550,MERCURY, MARQUIS,39900,1977,Automatic,Used,Hardtop - Coupe,Unleaded,6590,
551,RENAULT, MASTER,33990,2015,Automatic,Used,Van,Diesel,2300,
552,AUDI, A8 4H MY16,59990,2015,,Used,Sedan,,,
553,TOYOTA, HIACE KDH221R HIGH ROOF SUPER LWB,36990,2015,Automatic,Used,Van,Diesel,3000,
554,JAGUAR, XJS,32500,1984,Automatic,Used,Hardtop - Coupe,Unleaded,5345,198
555,FORD, F100 1/2 Ton,59990,1969,Automatic,Used,Ute,Unleaded,,
556,CHEVROLET,  COUPE Master 85,28000,1939,Manual,Used,Hardtop - Coupe,Unleaded,,
557,PORSCHE, BOXSTER 987 MY10,59990,2010,,Used,Convertible,,,
558,HSV, SENATOR  VR Senator,25000,1994,Automatic,Used,Sedan,Premium Unleaded,,
559,BENTLEY, CONTINENTAL,389990,2018,Automatic,Used,Hardtop - Coupe,Premium Unleaded,0,
560,JAGUAR, S-TYPE,22950,,,Used,Sedan,,,
561,PONTIAC, BONNEVILLE,39900,1961,,Used,Sedan,,,
562,FORD, FAIRLANE 500,21500,,Automatic,Used,Sedan,Premium Unleaded,5800,
563,FPV, GT-P FG,88990,2011,Automatic,Used,Sedan,,,
564,JAGUAR, E-TYPE 1,199950,1961,Manual,Used,Convertible,,,
565,SAAB, 9-3 442 MY,14990,2006,,Used,Convertible,,,
566,AUDI, Q2,39990,2017,Automatic,Used,Wagon,Unleaded,1400,
567,HOLDEN, COMMODORE VB,24000,1979,Automatic,Used,Sedan,Leaded Petrol,,
568,MERCEDES-BENZ, S550,39990,2015,Automatic,Used,Sedan,Unleaded,,
569,AUDI, S8,160000,2016,Tiptronic,Used,Sedan,,,445
570,LAMBORGHINI, MURCIELAGO LP640,429950,2007,,Used,Hardtop - Coupe,,,
571,BENTLEY, FLYING SPUR,269990,2017,Automatic,Used,Sedan,Premium Unleaded,3993,
572,LEXUS, CT 200H HYBRID,18990,2012,CVT,Used,Hatchback,Unleaded,1798,
573,CHEVROLET, CORVETTE,169990,1968,Manual,Used,Roadster,Leaded Petrol,6966,
574,HOLDEN, TORANA LC COUPE,45000,1971,Manual,Used,Sedan,Leaded Petrol,2200,5
575,HSV, CLUBSPORT R8 VX,55000,2001,Automatic,Used,Sedan,,,
576,HOLDEN, RODEO DLX,5990,1989,Manual,Used,Cab Chassis,Diesel,2800,
577,FORD, F100 Pick Up truck,69000,1955,,Used,Ute,,,
578,NISSAN, MAXIMA TI,7990,,Automatic,Used,Sedan,Unleaded,3500,
579,MCLAREN, 570S,399990,2020,,Used,Convertible,,,
580,ASTON MARTIN, DBS Vantage,228000,1969,,Used,Hardtop - Coupe,,,
581,CHRYSLER, CL,45000,1977,Automatic,Used,Ute,Premium Unleaded,5200,
582,TOYOTA, CORONA,9950,,,Used,Sedan,,,
583,FORD, RANGER PX MKII XLT Double Cab,50990,2016,Automatic,Used,Ute,Diesel,3200,
584,BMW, X3,29990,2013,Automatic,Used,Wagon,Diesel,1995,
585,CHEVROLET, CORVETTE,38900,1982,,Used,Targa,,,
586,CHRYSLER, VALIANT CM Regal,27500,1980,,Used,Sedan,,,
587,JAGUAR, MK IV SE,32990,1947,Manual,Used,Sedan,Leaded Petrol,0,
588,VOLKSWAGEN, CADDY,14990,2009,Automatic,Used,Van,Diesel,1900,
589,BUICK, ELECTRA 225,29990,1964,Automatic,Used,Convertible,Unleaded,,
590,HOLDEN, CALAIS-V Holden Calais V VF,33500,2013,Automatic,Used,Sedan,Premium Unleaded,,
591,AUDI, RS7,109990,2014,Automatic,Used,Hatchback,Premium Unleaded,3993,
592,BMW, X5,47990,2014,Automatic,Used,Wagon,Diesel,1995,
593,MERCEDES-BENZ, S350,79990,2014,Automatic,Used,Sedan,Diesel,2987,
594,LAND ROVER, RANGE ROVER,37990,2010,Automatic,Used,Wagon,Diesel,2993,
595,FORD, ESCORT Mk1 RS2000,120000,1974,,Used,Hardtop - Coupe,,,
596,CHRYSLER, VALIANT CHARGER XL SPORTSMAN VJ,125000,1975,,Used,Hardtop - Coupe,,,
597,FORD, VICTORIA,34990,1951,Automatic,Used,Hardtop - Coupe,Unleaded,,
598,MG, TF 80th Anniversary S.E. TF 120,19975,2004,CVT,Used,Convertible,Premium Unleaded,1796,88
599,LAMBORGHINI, MURCIELAGO SV LP670-4,699990,2010,,Used,Hardtop - Coupe,,,
600,HOLDEN, HK Premier,95000,1969,Automatic,Used,Sedan,Premium Unleaded,307,149
601,FORD, F250,134990,2014,Automatic,Used,Ute,Diesel,,
602,BMW, X5,59990,2014,Automatic,Used,Wagon,Diesel,2993,
603,FORD, FALCON XR6,19950,2011,,Used,Ute,,,
604,MGB, MARK 1,22000,1965,Manual,Used,Soft Top,,,
605,FORD, FALCON XY GS,125000,1971,,Used,Ute,,,
606,ALFA ROMEO, MONTREAL,175000,1974,Manual,Used,Hardtop - Coupe,Unleaded,2600,149
607,BMW, 523I Executive,9990,1997,Automatic,Used,Sedan,Unleaded,2500,
608,FORD, FALCON FG,49990,2011,Automatic,Used,Sedan,Premium Unleaded,5000,8
609,FPV, F6 TYPHOON BF MK II,49990,2008,,Used,Sedan,,,
610,MERCEDES-BENZ, C-CLASS W205,46990,2015,,Used,Sedan,,,
611,FORD, HI-BOY,37990,1932,Automatic,Used,Roadster,Unleaded,,
612,PORSCHE, 356,44990,1960,Manual,Used,Convertible,Unleaded,1582,45
613,MITSUBISHI, TRITON,24880,2015,Automatic,Used,Ute,Diesel,0,
614,PORSCHE, 911 996 Carrera 4,53990,1998,Automatic,Used,Convertible,Unleaded,3400,
615,NISSAN, PATROL,33850,2006,,Used,Ute,,,
616,PONTIAC, PARISIENNE,39995,1968,Manual,Used,Sedan,,,
617,FORD, HOT ROD 3 Window,85000,1934,Automatic,Used,Hardtop - Coupe,Unleaded,351,450
618,CHEVROLET, CORVETTE Sting-Ray,225000,1963,Manual,Used,Hardtop - Coupe,Unleaded,,
619,FORD, GALAXIE 500 XL,47900,,,Used,Hardtop - Coupe,,,
620,AUDI, TT 8J,32990,2007,,Used,Roadster,,,
621,MAZDA, RX8,25000,2005,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1308,
622,LAND ROVER, RANGE ROVER,87990,2017,Automatic,Used,Wagon,Diesel,2993,
623,FORD, FAIRLANE EF,65000,1995,Automatic,Used,Limousine,Unleaded,5000,216
624,LAND ROVER, RANGE ROVER,99990,2014,Automatic,Used,Wagon,Diesel,4367,
625,JAGUAR, E-TYPE 1,259900,1965,Manual,Used,Hardtop - Coupe,,,
626,FORD, MUSTANG,43990,1967,Automatic,Used,Hardtop - Coupe,Unleaded,4735,202
627,HOLDEN, COMMODORE Brock VK Monza,29500,1985,,Used,Hardtop - Coupe,,,
628,HOLDEN, COMMODORE SS VF series II,75000,2016,Automatic,Used,Wagon,Premium Unleaded,6200,407
629,MERCEDES-BENZ, C200 AVANTGARDE,37990,2014,Automatic,Used,Sedan,Premium Unleaded,1991,
630,BMW, X1 E84 LCI MY0713,21990,2013,,Used,Wagon,,,
631,MERCEDES-BENZ, VITO 111 CDI LWB,29990,2015,Manual,Used,Van,Diesel,1600,
632,MG, B,25500,1970,Manual,Used,Roadster,Unleaded,1798,0
633,FIAT ABARTH, 500 SERIES 1,19990,2013,,Used,Hatchback,,,
634,AUDI, A8,39990,2010,Tiptronic,Used,Sedan,Premium Unleaded,4163,
635,JEEP, CJ5 Renegade,42999,1974,Manual,Used,Convertible,Unleaded,,
636,TOYOTA, LANDCRUISER GXL,97990,,Manual,Used,Cab Chassis,Diesel,4500,
637,DATSUN, 1200,24990,1980,Manual,Used,Ute,Unleaded,1171,
638,MERCEDES-BENZ, C-CLASS W205,46990,2015,,Used,Sedan,,,
639,CHEVROLET, 3100,67500,1955,Automatic,Used,Tray,Leaded Petrol,6000,375
640,HOLDEN, FE Special Sedan,39500,1956,,Used,Sedan,,,
641,ASTON MARTIN, DBS Vantage,228000,1969,,Used,Hardtop - Coupe,,,
642,JAGUAR, MK II,67950,1962,,Used,Sedan,,,
643,FORD, MUSTANG FASTBACK GT350 HERTZ REPLICA,97000,1966,Automatic,Used,Fastback,,,
644,VOLKSWAGEN, 21 WINDOW,84990,1967,Manual,Used,Van,Unleaded,,
645,MAZDA, CX-3 QWZ,28500,2021,Automatic,Used,Wagon,,,
646,LAND ROVER, DEFENDER 90,58500,1994,Manual,Used,Wagon,Diesel,,
647,MAZDA, RX7 2,39000,1983,Manual,Used,Hatchback,Unleaded,,
648,VOLKSWAGEN, CADDY MAXI,15888,2013,Manual,Used,Van,Diesel,,
649,ASTON MARTIN, DB9,179500,2013,,Used,Hardtop - Coupe,,,
650,AUSTIN HEALEY, 3000 MK III BJ8,119990,1967,Manual,Used,Convertible,Leaded Petrol,2912,
651,TOYOTA, TARAGO GLI,9990,2006,Automatic,Used,Wagon,Unleaded,2400,
652,JEEP, WRANGLER Sport,8999,1998,Manual,Used,Soft Top,,,
653,HOLDEN, FE Special Sedan,39500,1956,,Used,Sedan,,,
654,HOLDEN, FB,19990,,Manual,Used,Panel Van,Premium Unleaded,,
655,FORD, F150,79990,2005,Automatic,Used,Ute,Unleaded,,
656,TOYOTA, LANDCRUISER VDJ200R MY16,94990,2016,Automatic,Used,Wagon,Diesel,4461,200
657,HOLDEN, EH Special,19000,1965,Manual,Used,Wagon,Premium Unleaded,,
658,FORD, FALCON XL,42000,1963,Automatic,Used,Sedan,Unleaded,289,
659,HSV, MALOO VP UTE,78000,1993,Manual,Used,Ute,Premium Unleaded,,
660,MERCEDES-BENZ, C250,26990,2012,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1796,
661,CHEVROLET, CAMARO SS Lingenfelter,39990,2010,Manual,Used,Hardtop - Coupe,Unleaded,,
662,FORD, LTD,46990,1973,Automatic,Used,Sedan,Leaded Petrol,5766,
663,MERCEDES-BENZ, A180,24990,2013,Automatic,Used,Hatchback,Premium Unleaded,1595,
664,CHEVROLET, CORVETTE Sting Ray,112000,1967,Manual,Used,Convertible,Unleaded,,
665,HOLDEN, TORANA,155000,1974,,Used,Sedan,,,
666,MERCEDES-BENZ, ML55 AMG,19990,2001,Automatic,Used,Wagon,Unleaded,5439,
667,JAGUAR, XK,79990,2009,Automatic,Used,Hardtop - Coupe,Premium Unleaded,4196,
668,HSV, SENATOR SIGNATURE  HOLDEN  VT SENATOR SIGNATURE 220I,37000,1998,,Used,Sedan,,5700,
669,MERCEDES-BENZ, CLA45 C117,83787,2018,,Used,Sedan,Premium Unleaded,,
670,MERCEDES-BENZ, S550,39990,2015,Automatic,Used,Sedan,Unleaded,,
671,BMW, 328CI E46,7990,1999,Manual,Used,Hardtop - Coupe,Unleaded,2800,
672,NISSAN, PATROL DX MY13,28990,2012,Manual,Used,Cab Chassis,Diesel,3000,
673,BMW, 3 SERIES E90 320i,15990,2006,Automatic,Used,Sedan,Unleaded,2000,
674,FORD, RANGER PX MKII XL,43990,2016,Automatic,Used,Ute,Diesel,3200,
675,FORD, EVEREST,52990,2019,Automatic,Used,Wagon,Diesel,1996,
676,FORD, MUSTANG,129990,2017,Manual,Used,Hardtop - Coupe,Premium Unleaded,0,
677,VOLKSWAGEN, EOS,21990,2012,Automatic,Used,Convertible,Premium Unleaded,1984,
678,HOLDEN, TORANA LC,44500,1971,,Used,Hardtop - Coupe,,,
679,MERCEDES-BENZ, SLK R172,86990,2012,,Used,Roadster,,,
680,CHRYSLER, PLYMOUTH ROADRUNNER,60000,1971,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
681,JAGUAR, MK X,19500,1962,Manual Overdrive,Used,Sedan,Unleaded,3800,
682,FORD, FAIRLANE,55000,1959,Manual,Used,Sedan,Leaded Petrol,292,149.14 KW
683,PLYMOUTH, CRANBROOK,42990,1951,Manual,Used,Convertible,Unleaded,,
684,CHRYSLER, CL,45000,1977,Automatic,Used,Ute,Premium Unleaded,5200,
685,TRIUMPH, TR3,69500,1956,,Used,Roadster,,,
686,FORD, FALCON EAII,9500,1991,Automatic,Used,Wagon,Unleaded,3900,
687,CHEVROLET, CHEVELLE MALIBU,59900,1972,Automatic,Used,Hardtop - Coupe,,5733,
688,MERCEDES-BENZ, C250,26990,2012,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1796,
689,ROCHDALE, GT,20000,1958,Manual,Used,Hardtop - Coupe,Premium Unleaded,1172,40
690,MERCEDES-BENZ, 180 C Class,8990,2004,Automatic,Used,Sedan,Premium Unleaded,1796,143 PS/105 kw at 5200rpm
691,MITSUBISHI, PAJERO 4x4,32990,2014,Automatic,Used,Wagon,Diesel,3200,
692,MERCEDES-BENZ, E-CLASS A207,34990,2010,,Used,Convertible,,,
693,MERCEDES-BENZ, SLK R172,46990,2011,,Used,Roadster,,,
694,BUICK, RIVIERA 46R Special,26990,1955,Automatic,Used,Hardtop - Coupe,Unleaded,,
695,FORD, F250 Ex-Ambulance,18500,1989,Automatic,Used,Panel Van,Dual Fuel,,
696,JAGUAR, XJS,32500,1984,Automatic,Used,Hardtop - Coupe,Unleaded,5345,198
697,FORD, RANGER PX MKII XL,43990,2016,Automatic,Used,Ute,Diesel,3200,
698,STUDEBAKER, ER,6000,1922,Manual,Used,Tourer,Leaded Petrol,,
699,HOLDEN, TORANA UC SL,49000,1978,,Used,Hatchback,,,
700,BRISTOL, 405,104950,1955,Manual,Used,Hardtop - Coupe,,1971,
701,ASTON MARTIN, VANTAGE MY21,349990,2021,,Used,Hardtop - Coupe,,,
702,MERCEDES-BENZ, CL-CLASS CLK55 AMG,29990,2003,Automatic,Used,Hardtop - Coupe,Unleaded,5500,
703,HSV, GTS 300 VY,149000,2003,,Used,Sedan,,,
704,SUBARU, LIBERTY,19900,,Manual,Used,Sedan,Premium Unleaded,,
705,FORD, FALCON 500,37000,,Manual,Used,Wagon,,,
706,TOYOTA, TARAGO GLI,9990,2006,Automatic,Used,Wagon,Unleaded,2400,
707,CITROEN, SM,99950,1972,Manual,Used,Hardtop - Coupe,,2675,
708,JAGUAR, XKR X150,79990,2009,,Used,Convertible,,,
709,AUDI, TT 8J,32990,2007,,Used,Roadster,,,
710,SUBARU, WRX,26700,2009,Manual,Used,Sedan,Premium Unleaded,2500,
711,HOLDEN, HJ,26888,1975,Automatic,Used,Panel Van,Unleaded,308,
712,BMW, 3 SERIES E90,16990,2006,,Used,Sedan,,,
713,FORD, FALCON XY GS,125000,1971,,Used,Ute,,,
714,BMW, 118I,27990,2016,Automatic,Used,Hatchback,Premium Unleaded,1499,
715,PONTIAC, FIERO GT,14000,,Automatic,Used,Hardtop - Coupe,Unleaded,,
716,CHEVROLET, CORVETTE ZR1,75990,2010,Manual,Used,Hardtop - Coupe,Unleaded,,
717,NISSAN, DUALIS,17990,2012,CVT,Used,Wagon,Unleaded,1997,
718,AUDI, A8,39990,2010,Tiptronic,Used,Sedan,Premium Unleaded,4163,
719,MERCEDES-AMG, S63,249990,2018,Automatic,Used,Convertible,Premium Unleaded,0,
720,FORD, F250 Sport custom pick up,48000,1970,,Used,Ute,,,
721,JAGUAR, MK IV SE,32990,1947,Manual,Used,Sedan,Leaded Petrol,0,
722,JAGUAR, E-TYPE LIGHTWEIGHT,519950,1964,Manual,Used,Roadster,,3781,
723,SAAB, 9-3 442 MY,14990,2006,,Used,Convertible,,,
724,LEXUS, GS300,19990,2008,Automatic,Used,Sedan,Premium Unleaded,2995,
725,CHEVROLET, NOVA SS,54990,1963,Manual,Used,Convertible,Unleaded,,
726,FPV, GT-P FG,88990,2011,Automatic,Used,Sedan,,,
727,FORD, MUSTANG Boss 302,235000,1970,,Used,Hardtop - Coupe,,,
728,PORSCHE, 356SC,440000,1965,Manual,Used,Convertible,,1600,
729,CHEVROLET, CORVETTE C4,34000,1987,Automatic,Used,Targa,Unleaded,350,
730,BMW, 420D,29990,2013,Automatic,Used,Hardtop - Coupe,Diesel,1995,
731,MERCEDES-BENZ, ML400,59990,2014,Automatic,Used,Wagon,Premium Unleaded,2996,
732,FORD, FALCON XW,59990,1970,Manual,Used,Sedan,Unleaded,,
733,FORD, MUSTANG,58000,,,Used,Convertible,Premium Unleaded,302,
734,FORD, XY FALCON 500,120000,1971,,Used,Sedan,,,
735,MERCEDES-BENZ, C200 KOMPRESSOR,7990,2001,Automatic,Used,Hardtop - Coupe,Unleaded,2000,
736,MERCEDES-BENZ, SLK200,39990,2013,Automatic,Used,Convertible,Premium Unleaded,1796,
737,MAZDA, 323 BA1163,6990,1997,,Used,Sedan,,,
738,HSV, SV300 VX,74888,2001,Manual,Used,Sedan,Premium Unleaded,,
739,FORD, FALCON XY,34000,1971,Manual,Used,Wagon,Unleaded,250,
740,FERRARI, 308 GTB Vetroresina,259950,1976,Manual,Used,Hardtop - Coupe,,2926,
741,BMW, X6,79990,2016,Automatic,Used,Hardtop - Coupe,Diesel,2993,
742,AUDI, Q5 8R MY15,33990,2015,,Used,Wagon,,,
743,MASERATI, 3200,44990,2000,Automatic,Used,Hardtop - Coupe,Premium Unleaded,3217,
744,TOYOTA, HIACE KDH221R HIGH ROOF SUPER LWB,36990,2015,Automatic,Used,Van,Diesel,3000,
745,ROVER, P6B 1,2500,1969,Automatic,Used,Sedan,Premium Unleaded,3500,
746,FORD, MUSTANG FM MY17,76990,2016,Manual,Used,Hardtop - Coupe,Premium Unleaded,4950,306
747,PORSCHE, CARRERA 4S,107990,2006,Automatic,Used,Hardtop - Coupe,Unleaded,3800,
748,LEYLAND, TARGA FLORIO P76,18990,1974,Automatic,Used,Sedan,Unleaded,4400,
749,MERCEDES-BENZ, GLA-CLASS X156,39990,2016,,Used,Wagon,,,
750,HOLDEN, TORANA LC,44500,1971,,Used,Hardtop - Coupe,,,
751,BMW, 3 SERIES E46 MY03,14990,2003,,Used,Hardtop - Coupe,,,
752,TOYOTA, HILUX SR SR5 GUN126R 4x4,59990,2016,Automatic,Used,Ute,Diesel,2800,
753,JAGUAR, XJ,59990,2011,Automatic,Used,Sedan,Diesel,2993,
754,FORD, TORINO GRAND TORINO SPORTS,59900,1973,,Used,Hardtop - Coupe,,,
755,HOLDEN, HSV VXII CLUBSPORT,25000,2002,Manual,Used,Sedan,Premium Unleaded,,
756,FIAT ABARTH, 500 SERIES 1,19990,2013,,Used,Hatchback,,,
757,TOYOTA, CENTURY VG40,25000,1987,Automatic,Used,Limousine,Premium Unleaded,,243
758,BMW, 645CI E64,39990,2004,,Used,Convertible,,,
759,SAAB, 9-3 Aero,16500,2007,Sequential Manual Auto,Used,Convertible,Premium Unleaded,2800,184
760,OLDSMOBILE, 98,16500,1980,Automatic,Used,Sedan,Leaded Petrol,,
761,HOLDEN, SANDMAN HQ,159000,1974,,Used,Panel Van,,,
762,HOLDEN, CALAIS-V Holden Calais V VF,33500,2013,Automatic,Used,Sedan,Premium Unleaded,,
763,CHEVROLET, SILVERADO LT,49000,2004,Automatic,Used,Cab Chassis,Unleaded,5300,280
764,NISSAN, SKYLINE GTR R34 M-Spec,279950,2001,Manual,Used,Hardtop - Coupe,,2568,
765,HOLDEN, CALAIS VT II,5500,2000,Automatic,Used,Sedan,Unleaded,3800,171
766,JAGUAR, MK II,85000,1964,,Used,Sedan,,,
767,TOYOTA, LANDCRUISER VX,54990,2008,Automatic,Used,Wagon,Unleaded,4700,
768,MERCEDES-BENZ, E220,39990,2013,Automatic,Used,Sedan,Diesel,2143,
769,MERCEDES-BENZ, C-CLASS W204 MY13,26990,2012,,Used,Sedan,,,
770,FORD, RANGER Px MKIII WildTrak 4x4,69990,2018,Automatic,Used,Ute,Diesel,3200,
771,PORSCHE, 356,129990,1962,Manual,Used,Hardtop - Coupe,Unleaded,1582,45
772,BMW, 5 SERIES F10 LCI,39990,2015,,Used,Sedan,,,
